LOCATIONS,Temp,D.O. (mg/l),PH,CONDUCTIVITY (�mhos/cm),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,B.O.D. (mg/l)
"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",18.3,7.3,7.1,51,2.4,19,40,1.6
"RILANG RIVER AT MAWKYRWAT, WEST KHASI HILLS",19.6,7.7,7.2,50,2,19,36,1.6
"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",23.7,7.6,7.3,115,3.7,301,528,2.1
"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",18.2,6.2,7,81,5.1,36,79,2.4
"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",18.8,7.2,7.1,66,3.4,28,63,1.9
"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",18.9,7.4,7.1,57,2.9,13,40,1.5
"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",25.1,7.5,7.4,144,3.5,26,59,1.7
UMKHEN AT WAHKDAIT,18.8,7.1,7.1,63,5.6,22,48,1.9
UMKHEN AT KSEHPONGDENG,20.2,7.3,7.2,65,3.3,24,48,1.9
"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",20,7.3,7.3,65,3,25,54,2
"UMKHRAH RIVER AT DEMTHRING, SHILLONG",18.5,1.5,6.9,345,16.9,23232,34251,33.9
"UMKHRAH RIVER ATUMKALIAR, SHILLONG",18.8,3.9,7.1,233,10.5,13174,22223,17
"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",18.3,1,7.2,376,20.3,48665,83554,57.2
"UMKHRAH RIVER AT MAWPDANG, MAWLAI",18.5,0.9,7.2,506,19.6,64250,106333,61.1
"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",18.2,7.2,7,66,3.7,28,60,1.9
"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",22.1,7.7,7.2,62,3,27,59,1.6
"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",17.6,7.3,6.9,61,2,25,52,2.2
"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",18.7,1.2,7.1,380,15.6,51583,94083,45.7
"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",18.7,3.2,7.1,258,10.3,31833,54083,23.5
"UMTREW AT BYRNIHAT EAST, MEGHALAYA",23.1,7.2,7.2,124,4.5,348,552,6.9
"UMTREW RIVER AT UMRAN, RINAN BHOI",22.6,7.2,7.1,65,2.4,56,120,2.1
"WAH BLEI AT RIANGDO, WEST KHASI HILLS",20,7.5,7.3,64,3.3,21,42,1.9
"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",19.9,7.6,7.3,65,3.8,21,43,1.9
TLAWNG DOWNSTREAM AIZAWL,24.4,7.2,7.3,275,0.1,4,68,1.5
"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",27.3,6.2,7.8,165,0,282,340,2.1
"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",29.1,6.4,7.8,158,0.5,458,500,4.1
"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",26.6,6.6,7.9,210,1.9,510,572,4.2
